75443	-9522	10271	-7437	-1362	-9751	-4743	7885	982	-30944	28095	19913	-7682	23094	-3920	-6429	653	1066	-14653	-9803	-16475	2372
-9522	65898	-16937	24212	-28173	-16023	-4349	-19687	-17926	-9797	5456	5514	-6622	4393	14169	-257	4618	27371	7203	17303	13842	-23373
10271	-16937	83122	5709	14466	26720	-48496	-8045	23319	20652	12831	17301	15010	-21755	-15284	11866	19434	963	-773	-9546	-18556	2108
-7437	24212	5709	76495	5357	-6804	-25908	-13701	-15668	-7579	4986	-2191	-22306	-38902	-19758	7144	-4324	23450	28697	13511	-10950	1076
-1362	-28173	14466	5357	94714	-337	3580	-4546	-279	-1052	5223	-7170	-24037	-483	-11783	-179	-15416	-9225	15697	14352	-6136	15963
-9751	-16023	26720	-6804	-337	54092	-16189	6052	30895	6587	-13457	-4323	13870	6995	-1577	-10924	13663	-37605	-21011	4422	-6654	3005
-4743	-4349	-48496	-25908	3580	-16189	76700	-3859	-25696	-34419	-6530	-8612	-5017	24297	10601	6376	-27675	-10856	2912	9455	37472	-22514
7885	-19687	-8045	-13701	-4546	6052	-3859	58776	17161	10507	15778	-3488	-1790	11986	2289	-23429	22217	1713	-3583	-21863	-13535	18101
982	-17926	23319	-15668	-279	30895	-25696	17161	85780	4952	-1395	-7554	-29215	-6826	4444	-18041	24842	-18714	-29521	-14105	13895	5885
-30944	-9797	20652	-7579	-1052	6587	-34419	10507	4952	85421	9645	-11316	8473	-21736	-20964	14432	17813	-2702	2891	-25559	-23995	7005
28095	5456	12831	4986	5223	-13457	-6530	15778	-1395	9645	83336	9236	-7346	756	-8282	22666	-16585	9574	5974	20651	-23077	-17441
19913	5514	17301	-2191	-7170	-4323	-8612	-3488	-7554	-11316	9236	40197	15040	14059	-15392	-675	-4931	2087	-13124	-8197	-1990	1030
-7682	-6622	15010	-22306	-24037	13870	-5017	-1790	-29215	8473	-7346	15040	73771	21706	5478	-1531	-19003	-5831	4195	48	-22729	3791
23094	4393	-21755	-38902	-483	6995	24297	11986	-6826	-21736	756	14059	21706	74089	29728	-24781	-18876	-25519	-30139	3198	4981	-4742
-3920	14169	-15284	-19758	-11783	-1577	10601	2289	4444	-20964	-8282	-15392	5478	29728	83990	-4832	-7031	8265	-11863	9869	10225	-4267
-6429	-257	11866	7144	-179	-10924	6376	-23429	-18041	14432	22666	-675	-1531	-24781	-4832	69511	-14934	7019	6961	-9019	-6158	-22598
653	4618	19434	-4324	-15416	13663	-27675	22217	24842	17813	-16585	-4931	-19003	-18876	-7031	-14934	84240	13532	-7255	-24217	-7697	15216
1066	27371	963	23450	-9225	-37605	-10856	1713	-18714	-2702	9574	2087	-5831	-25519	8265	7019	13532	80753	47125	-19487	3027	-5977
-14653	7203	-773	28697	15697	-21011	2912	-3583	-29521	2891	5974	-13124	4195	-30139	-11863	6961	-7255	47125	65016	7889	222	-8486
-9803	17303	-9546	13511	14352	4422	9455	-21863	-14105	-25559	20651	-8197	48	3198	9869	-9019	-24217	-19487	7889	83257	-1804	-13761
-16475	13842	-18556	-10950	-6136	-6654	37472	-13535	13895	-23995	-23077	-1990	-22729	4981	10225	-6158	-7697	3027	222	-1804	67067	-26349
2372	-23373	2108	1076	15963	3005	-22514	18101	5885	7005	-17441	1030	3791	-4742	-4267	-22598	15216	-5977	-8486	-13761	-26349	51669
